date,v_observed,k_observed,greenshields,drake,five_pl,s3
10-26,52.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,52.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.616,65.9861796938381,66.65829811176296,66.66483996867144,66.68286926422017
10-26,71.0,0.616,65.9861796938381,66.65829811176296,66.66483996867144,66.68286926422017
10-26,46.0,0.6526666666666521,65.94470954360189,66.65528544280252,66.6645850402713,66.68286666498516
10-26,78.0,0.6526666666666521,65.94470954360189,66.65528544280252,66.6645850402713,66.68286666498516
10-26,68.0,0.696666666666652,65.89494536331843,66.65144056945462,66.66427436933019,66.6828628154948
10-26,74.5,0.696666666666652,65.89494536331843,66.65144056945462,66.66427436933019,66.6828628154948
10-26,74.5,0.696666666666652,65.89494536331843,66.65144056945462,66.66427436933019,66.6828628154948
10-26,71.0,0.696666666666652,65.89494536331843,66.65144056945462,66.66427436933019,66.6828628154948
10-26,71.0,0.7333333333333261,65.8534752130822,66.64804514562469,66.66401145316885,66.68285890777958
10-26,65.0,0.737,65.84932819805857,66.64769603621234,66.66398495819836,66.68285847853438
10-26,68.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,74.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,78.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,68.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,74.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,78.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,78.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,74.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,78.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,56.0,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,71.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,74.5,0.777333333333326,65.80371103279874,66.64374104157895,66.66369104807913,66.68285325266106
10-26,78.0,0.821333333333326,65.75394685251528,66.63918651574176,66.66336520569095,66.6828463947655
10-26,69.0,0.821333333333326,65.75394685251528,66.63918651574176,66.66336520569095,66.6828463947655
10-26,68.0,0.821333333333326,65.75394685251528,66.63918651574176,66.66336520569095,66.6828463947655
10-26,65.0,0.821333333333326,65.75394685251528,66.63918651574176,66.66336520569095,66.6828463947655
10-26,74.5,0.821333333333326,65.75394685251528,66.63918651574176,66.66336520569095,66.6828463947655
10-26,71.5,0.857999999999978,65.71247670227908,66.63519982010448,66.66308945045142,66.68283963852718
10-26,68.0,0.857999999999978,65.71247670227908,66.63519982010448,66.66308945045142,66.68283963852718
10-26,62.5,0.857999999999978,65.71247670227908,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.5,0.857999999999978,65.71247670227908,66.63519982010448,66.66308945045142,66.68283963852718
10-26,65.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,69.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,74.5,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,68.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,52.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,65.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,65.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,65.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,68.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,68.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.5,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,74.5,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,65.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,74.5,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,65.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.5,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.0,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,74.5,0.858,65.71247670227906,66.63519982010448,66.66308945045142,66.68283963852718
10-26,71.5,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,71.5,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,68.0,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,65.0,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,71.5,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,74.5,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,62.5,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,62.5,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,65.0,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,71.5,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,71.5,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,65.0,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
10-26,65.0,0.902,65.66271252199559,66.6301863231349,66.66275339926577,66.68283012334558
