zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length
12449,091-117-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-117_1-SB-VDS,Unknown,FDOT,Radar,26.9490040,-80.1619610,,70,60,
12450,091-116-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-116_5-SB-VDS,Unknown,FDOT,Radar,26.9424190,-80.1575220,,70,60,
12452,091-101-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-101_9-SB-VDS,Unknown,FDOT,Radar,26.7359600,-80.1352800,,70,60,
12453,091-101-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-101_5-SB-VDS,Unknown,FDOT,Radar,26.7288590,-80.1356440,,70,60,
12454,091-100-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-101_1-SB-VDS,Unknown,FDOT,Radar,26.7229600,-80.1358700,,70,60,
12455,091-101-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-101_1-SB-VDS,Unknown,FDOT,Radar,26.7229600,-80.1358700,,70,60,
12456,091-100-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-100_5-NB-VDS,Unknown,FDOT,Radar,26.7159620,-80.1368090,,70,60,
12564,091-131-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-131_3-SB-VDS,Unknown,FDOT,Radar,27.1208670,-80.2772900,,70,60,
12565,091-143-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-143_1-SB-VDS,Unknown,FDOT,Radar,27.2735000,-80.3586520,,70,60,
16451,091-102-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-102_5-SB-VDS,Unknown,FDOT,Radar,26.7440430,-80.1349530,,70,30,
16453,091-115-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-115_2-SB-VDS,Unknown,FDOT,Radar,26.9246250,-80.1496440,,70,60,
